"","","","2013"
"","","","Valeur"
"Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2090"
"Afrique du Sud","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3022"
"Albanie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3193"
"Algérie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3296"
"Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3499"
"Angola","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2473"
"Antigua-et-Barbuda","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2417"
"Arabie saoudite","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3255"
"Argentine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3229"
"Arménie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2928"
"Australie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3276"
"Autriche","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3768"
"Azerbaïdjan","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3118"
"Bahamas","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2670"
"Bangladesh","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2450"
"Barbade","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2937"
"Belgique","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3733"
"Belize","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2751"
"Bermudes","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2671"
"Bolivie (État plurinational de)","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2256"
"Bosnie-Herzégovine","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3154"
"Botswana","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2326"
"Brunéi Darussalam","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2985"
"Brésil","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3263"
"Bulgarie","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2829"
"Burkina Faso","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2720"
"Bélarus","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3250"
"Bénin","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2619"
"Cabo Verde","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2609"
"Cambodge","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2477"
"Cameroun","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2671"
"Canada","Disponibilité alimentaire (Kcal/personne/jour)","Total General","3494"
"Chili","Disponibilité alimentaire (Kcal/personne/jour)","Total General","2979"
