Domaine,Zone,Élément,Produit,Année,Valeur
"Données de la sécurité alimentaire","Afghanistan","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","1848.7"
"Données de la sécurité alimentaire","Afrique du Sud","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","12339.7"
"Données de la sécurité alimentaire","Albanie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","10492.8"
"Données de la sécurité alimentaire","Algérie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","13253.6"
"Données de la sécurité alimentaire","Allemagne","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","42914.5"
"Données de la sécurité alimentaire","Angola","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","6188"
"Données de la sécurité alimentaire","Antigua-et-Barbuda","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","18823.8"
"Données de la sécurité alimentaire","Arabie saoudite","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","49537.6"
"Données de la sécurité alimentaire","Argentine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","19482.2"
"Données de la sécurité alimentaire","Arménie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","7727.9"
"Données de la sécurité alimentaire","Australie","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","43118.1"
"Données de la sécurité alimentaire","Autriche","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","44301.1"
"Données de la sécurité alimentaire","Azerbaïdjan","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","16593.2"
"Données de la sécurité alimentaire","Bahamas","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","28871.4"
"Données de la sécurité alimentaire","Bahreïn","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","42680.2"
"Données de la sécurité alimentaire","Bangladesh","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2835.8"
"Données de la sécurité alimentaire","Barbade","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","16409.9"
"Données de la sécurité alimentaire","Bélarus","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","17656.1"
"Données de la sécurité alimentaire","Belgique","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","40928.1"
"Données de la sécurité alimentaire","Belize","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","7856.4"
"Données de la sécurité alimentaire","Bénin","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","1934.6"
"Données de la sécurité alimentaire","Bermudes","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","50669.3"
"Données de la sécurité alimentaire","Bhoutan","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","7070.8"
"Données de la sécurité alimentaire","Bolivie (État plurinational de)","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","6090.7"
"Données de la sécurité alimentaire","Bosnie-Herzégovine","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","10284.8"
"Données de la sécurité alimentaire","Botswana","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","15568.3"
"Données de la sécurité alimentaire","Brésil","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","15432.9"
"Données de la sécurité alimentaire","Brunéi Darussalam","Valeur","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","79070.2"
