Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Afghanistan","Population totale","Population","2008","27032"
"Bilans Alimentaires","Afghanistan","Population totale","Population","2013","30552"
"Bilans Alimentaires","Afrique du Sud","Population totale","Population","2008","50267"
"Bilans Alimentaires","Afrique du Sud","Population totale","Population","2013","52776"
"Bilans Alimentaires","Albanie","Population totale","Population","2008","3157"
"Bilans Alimentaires","Albanie","Population totale","Population","2013","3173"
"Bilans Alimentaires","Algérie","Population totale","Population","2008","35725"
"Bilans Alimentaires","Algérie","Population totale","Population","2013","39208"
"Bilans Alimentaires","Allemagne","Population totale","Population","2008","83380"
"Bilans Alimentaires","Allemagne","Population totale","Population","2013","82727"
"Bilans Alimentaires","Angola","Population totale","Population","2008","18314"
"Bilans Alimentaires","Angola","Population totale","Population","2013","21472"
"Bilans Alimentaires","Antigua-et-Barbuda","Population totale","Population","2008","85"
"Bilans Alimentaires","Antigua-et-Barbuda","Population totale","Population","2013","90"
"Bilans Alimentaires","Antilles néerlandaises (ex)","Population totale","Population","2008","195"
"Bilans Alimentaires","Arabie saoudite","Population totale","Population","2008","26366"
"Bilans Alimentaires","Arabie saoudite","Population totale","Population","2013","28829"
"Bilans Alimentaires","Argentine","Population totale","Population","2008","39676"
"Bilans Alimentaires","Argentine","Population totale","Population","2013","41446"
"Bilans Alimentaires","Arménie","Population totale","Population","2008","2977"
"Bilans Alimentaires","Arménie","Population totale","Population","2013","2977"
"Bilans Alimentaires","Australie","Population totale","Population","2008","21645"
"Bilans Alimentaires","Australie","Population totale","Population","2013","23343"
"Bilans Alimentaires","Autriche","Population totale","Population","2008","8342"
"Bilans Alimentaires","Autriche","Population totale","Population","2013","8495"
"Bilans Alimentaires","Azerbaïdjan","Population totale","Population","2008","8878"
"Bilans Alimentaires","Azerbaïdjan","Population totale","Population","2013","9413"
"Bilans Alimentaires","Bahamas","Population totale","Population","2008","348"
"Bilans Alimentaires","Bahamas","Population totale","Population","2013","377"
"Bilans Alimentaires","Bangladesh","Population totale","Population","2008","147970"
"Bilans Alimentaires","Bangladesh","Population totale","Population","2013","156595"
"Bilans Alimentaires","Barbade","Population totale","Population","2008","278"
"Bilans Alimentaires","Barbade","Population totale","Population","2013","285"
"Bilans Alimentaires","Bélarus","Population totale","Population","2008","9556"
"Bilans Alimentaires","Bélarus","Population totale","Population","2013","9357"
"Bilans Alimentaires","Belgique","Population totale","Population","2008","10773"
"Bilans Alimentaires","Belgique","Population totale","Population","2013","11104"
"Bilans Alimentaires","Belize","Population totale","Population","2008","294"
"Bilans Alimentaires","Belize","Population totale","Population","2013","332"
"Bilans Alimentaires","Bénin","Population totale","Population","2008","8973"
"Bilans Alimentaires","Bénin","Population totale","Population","2013","10323"
"Bilans Alimentaires","Bermudes","Population totale","Population","2008","65"
"Bilans Alimentaires","Bermudes","Population totale","Population","2013","65"
