Domaine,Zone,Élément,Produit,Année,Valeur
"Élevage primaire","Afghanistan","Production","Viande, volaille","2013","26400"
"Élevage primaire","Afrique du Sud","Production","Viande, volaille","2013","1671931"
"Élevage primaire","Albanie","Production","Viande, volaille","2013","17000"
"Élevage primaire","Algérie","Production","Viande, volaille","2013","267000"
"Élevage primaire","Allemagne","Production","Viande, volaille","2013","950940"
"Élevage primaire","Angola","Production","Viande, volaille","2013","29880"
"Élevage primaire","Antigua-et-Barbuda","Production","Viande, volaille","2013","42"
"Élevage primaire","Antilles néerlandaises (ex)","Production","Viande, volaille","2013","372"
"Élevage primaire","Arabie saoudite","Production","Viande, volaille","2013","569000"
"Élevage primaire","Argentine","Production","Viande, volaille","2013","1921000"
"Élevage primaire","Arménie","Production","Viande, volaille","2013","8200"
"Élevage primaire","Australie","Production","Viande, volaille","2013","1066506"
"Élevage primaire","Autriche","Production","Viande, volaille","2013","109176"
"Élevage primaire","Azerbaïdjan","Production","Viande, volaille","2013","94411"
"Élevage primaire","Bahamas","Production","Viande, volaille","2013","6720"
"Élevage primaire","Bahreïn","Production","Viande, volaille","2013","6450"
"Élevage primaire","Bangladesh","Production","Viande, volaille","2013","173600"
"Élevage primaire","Barbade","Production","Viande, volaille","2013","13399"
"Élevage primaire","Bélarus","Production","Viande, volaille","2013","382500"
"Élevage primaire","Belgique","Production","Viande, volaille","2013","379933"
"Élevage primaire","Belize","Production","Viande, volaille","2013","16018"
"Élevage primaire","Bénin","Production","Viande, volaille","2013","12436"
"Élevage primaire","Bermudes","Production","Viande, volaille","2013","120"
"Élevage primaire","Bhoutan","Production","Viande, volaille","2013","455"
"Élevage primaire","Bolivie (État plurinational de)","Production","Viande, volaille","2013","366505"
"Élevage primaire","Bosnie-Herzégovine","Production","Viande, volaille","2013","41549"
"Élevage primaire","Botswana","Production","Viande, volaille","2013","7722"
"Élevage primaire","Brésil","Production","Viande, volaille","2013","11964353"
"Élevage primaire","Brunéi Darussalam","Production","Viande, volaille","2013","26580"
"Élevage primaire","Bulgarie","Production","Viande, volaille","2013","76776"
"Élevage primaire","Burkina Faso","Production","Viande, volaille","2013","38160"
"Élevage primaire","Burundi","Production","Viande, volaille","2013","6300"
"Élevage primaire","Cabo Verde","Production","Viande, volaille","2013","929"
"Élevage primaire","Cambodge","Production","Viande, volaille","2013","17500"
"Élevage primaire","Cameroun","Production","Viande, volaille","2013","72000"
"Élevage primaire","Canada","Production","Viande, volaille","2013","1080730"
"Élevage primaire","Chili","Production","Viande, volaille","2013","577503"
"Élevage primaire","Chine - RAS de Hong-Kong","Production","Viande, volaille","2013","27800"
