Domaine,Zone,Élément,Produit,Année,Valeur
"Cultures et produits animaux","Afrique du Sud","Exportations - Quantité","Viande de Volailles","2013","53668"
"Cultures et produits animaux","Albanie","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Algérie","Exportations - Quantité","Viande de Volailles","2013","320"
"Cultures et produits animaux","Allemagne","Exportations - Quantité","Viande de Volailles","2013","679682"
"Cultures et produits animaux","Angola","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Antigua-et-Barbuda","Exportations - Quantité","Viande de Volailles","2013","38"
"Cultures et produits animaux","Arabie saoudite","Exportations - Quantité","Viande de Volailles","2013","34330"
"Cultures et produits animaux","Argentine","Exportations - Quantité","Viande de Volailles","2013","368783"
"Cultures et produits animaux","Arménie","Exportations - Quantité","Viande de Volailles","2013","71"
"Cultures et produits animaux","Aruba","Exportations - Quantité","Viande de Volailles","2013","1191"
"Cultures et produits animaux","Australie","Exportations - Quantité","Viande de Volailles","2013","38711"
"Cultures et produits animaux","Autriche","Exportations - Quantité","Viande de Volailles","2013","76622"
"Cultures et produits animaux","Azerbaïdjan","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Bahamas","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Bahreïn","Exportations - Quantité","Viande de Volailles","2013","53"
"Cultures et produits animaux","Bangladesh","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Barbade","Exportations - Quantité","Viande de Volailles","2013","180"
"Cultures et produits animaux","Bélarus","Exportations - Quantité","Viande de Volailles","2013","106656"
"Cultures et produits animaux","Belgique","Exportations - Quantité","Viande de Volailles","2013","508488"
"Cultures et produits animaux","Belize","Exportations - Quantité","Viande de Volailles","2013","10"
"Cultures et produits animaux","Bénin","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Bermudes","Exportations - Quantité","Viande de Volailles","2013","2"
"Cultures et produits animaux","Bolivie (État plurinational de)","Exportations - Quantité","Viande de Volailles","2013","2305"
"Cultures et produits animaux","Bosnie-Herzégovine","Exportations - Quantité","Viande de Volailles","2013","5659"
