Domaine,Zone,Élément,Produit,Année,Valeur
"Cultures et produits animaux","Afghanistan","Importations - Quantité","Viande de Volailles","2013","48389"
"Cultures et produits animaux","Afrique du Sud","Importations - Quantité","Viande de Volailles","2013","355996"
"Cultures et produits animaux","Albanie","Importations - Quantité","Viande de Volailles","2013","25029"
"Cultures et produits animaux","Algérie","Importations - Quantité","Viande de Volailles","2013","3471"
"Cultures et produits animaux","Allemagne","Importations - Quantité","Viande de Volailles","2013","792429"
"Cultures et produits animaux","Angola","Importations - Quantité","Viande de Volailles","2013","320249"
"Cultures et produits animaux","Antigua-et-Barbuda","Importations - Quantité","Viande de Volailles","2013","6292"
"Cultures et produits animaux","Arabie saoudite","Importations - Quantité","Viande de Volailles","2013","879799"
"Cultures et produits animaux","Argentine","Importations - Quantité","Viande de Volailles","2013","4183"
"Cultures et produits animaux","Arménie","Importations - Quantité","Viande de Volailles","2013","31612"
"Cultures et produits animaux","Aruba","Importations - Quantité","Viande de Volailles","2013","7230"
"Cultures et produits animaux","Australie","Importations - Quantité","Viande de Volailles","2013","18902"
"Cultures et produits animaux","Autriche","Importations - Quantité","Viande de Volailles","2013","114405"
"Cultures et produits animaux","Azerbaïdjan","Importations - Quantité","Viande de Volailles","2013","4629"
"Cultures et produits animaux","Bahamas","Importations - Quantité","Viande de Volailles","2013","18916"
"Cultures et produits animaux","Bahreïn","Importations - Quantité","Viande de Volailles","2013","47564"
"Cultures et produits animaux","Bangladesh","Importations - Quantité","Viande de Volailles","2013","98"
"Cultures et produits animaux","Barbade","Importations - Quantité","Viande de Volailles","2013","1351"
"Cultures et produits animaux","Bélarus","Importations - Quantité","Viande de Volailles","2013","15649"
"Cultures et produits animaux","Belgique","Importations - Quantité","Viande de Volailles","2013","261175"
"Cultures et produits animaux","Belize","Importations - Quantité","Viande de Volailles","2013","149"
"Cultures et produits animaux","Bénin","Importations - Quantité","Viande de Volailles","2013","185236"
"Cultures et produits animaux","Bermudes","Importations - Quantité","Viande de Volailles","2013","3576"
"Cultures et produits animaux","Bhoutan","Importations - Quantité","Viande de Volailles","2013","370"
"Cultures et produits animaux","Bolivie (État plurinational de)","Importations - Quantité","Viande de Volailles","2013","626"
"Cultures et produits animaux","Bosnie-Herzégovine","Importations - Quantité","Viande de Volailles","2013","14662"
"Cultures et produits animaux","Botswana","Importations - Quantité","Viande de Volailles","2013","5607"
"Cultures et produits animaux","Brésil","Importations - Quantité","Viande de Volailles","2013","3381"
"Cultures et produits animaux","Brunéi Darussalam","Importations - Quantité","Viande de Volailles","2013","2120"
"Cultures et produits animaux","Bulgarie","Importations - Quantité","Viande de Volailles","2013","80014"
"Cultures et produits animaux","Burkina Faso","Importations - Quantité","Viande de Volailles","2013","83"
"Cultures et produits animaux","Burundi","Importations - Quantité","Viande de Volailles","2013","86"
"Cultures et produits animaux","Cabo Verde","Importations - Quantité","Viande de Volailles","2013","8547"
"Cultures et produits animaux","Cambodge","Importations - Quantité","Viande de Volailles","2013","1177"
"Cultures et produits animaux","Cameroun","Importations - Quantité","Viande de Volailles","2013","1254"
"Cultures et produits animaux","Canada","Importations - Quantité","Viande de Volailles","2013","226998"
"Cultures et produits animaux","Chili","Importations - Quantité","Viande de Volailles","2013","82850"
"Cultures et produits animaux","Chine - RAS de Hong-Kong","Importations - Quantité","Viande de Volailles","2013","947405"
"Cultures et produits animaux","Chine - RAS de Macao","Importations - Quantité","Viande de Volailles","2013","17270"
"Cultures et produits animaux","Chine, continentale","Importations - Quantité","Viande de Volailles","2013","584198"
"Cultures et produits animaux","Chine, Taiwan Province de","Importations - Quantité","Viande de Volailles","2013","115666"
"Cultures et produits animaux","Chypre","Importations - Quantité","Viande de Volailles","2013","13022"
"Cultures et produits animaux","Colombie","Importations - Quantité","Viande de Volailles","2013","57982"
"Cultures et produits animaux","Comores","Importations - Quantité","Viande de Volailles","2013","8035"
"Cultures et produits animaux","Congo","Importations - Quantité","Viande de Volailles","2013","51196"
"Cultures et produits animaux","Costa Rica","Importations - Quantité","Viande de Volailles","2013","7602"
"Cultures et produits animaux","Côte d'Ivoire","Importations - Quantité","Viande de Volailles","2013","1204"
"Cultures et produits animaux","Croatie","Importations - Quantité","Viande de Volailles","2013","17912"
"Cultures et produits animaux","Cuba","Importations - Quantité","Viande de Volailles","2013","188915"
"Cultures et produits animaux","Danemark","Importations - Quantité","Viande de Volailles","2013","114239"
"Cultures et produits animaux","Djibouti","Importations - Quantité","Viande de Volailles","2013","1794"
"Cultures et produits animaux","Dominique","Importations - Quantité","Viande de Volailles","2013","4117"
"Cultures et produits animaux","Égypte","Importations - Quantité","Viande de Volailles","2013","125306"
"Cultures et produits animaux","El Salvador","Importations - Quantité","Viande de Volailles","2013","16574"
"Cultures et produits animaux","Émirats arabes unis","Importations - Quantité","Viande de Volailles","2013","375574"
"Cultures et produits animaux","Équateur","Importations - Quantité","Viande de Volailles","2013","1403"
"Cultures et produits animaux","Espagne","Importations - Quantité","Viande de Volailles","2013","171139"
"Cultures et produits animaux","Estonie","Importations - Quantité","Viande de Volailles","2013","20576"
"Cultures et produits animaux","Eswatini","Importations - Quantité","Viande de Volailles","2013","1871"
"Cultures et produits animaux","États-Unis d'Amérique","Importations - Quantité","Viande de Volailles","2013","111618"
"Cultures et produits animaux","Éthiopie","Importations - Quantité","Viande de Volailles","2013","270"
"Cultures et produits animaux","Fédération de Russie","Importations - Quantité","Viande de Volailles","2013","529834"
"Cultures et produits animaux","Fidji","Importations - Quantité","Viande de Volailles","2013","1083"
"Cultures et produits animaux","Finlande","Importations - Quantité","Viande de Volailles","2013","17752"
"Cultures et produits animaux","France","Importations - Quantité","Viande de Volailles","2013","433198"
"Cultures et produits animaux","Gabon","Importations - Quantité","Viande de Volailles","2013","69753"
"Cultures et produits animaux","Gambie","Importations - Quantité","Viande de Volailles","2013","3639"
"Cultures et produits animaux","Géorgie","Importations - Quantité","Viande de Volailles","2013","43348"
"Cultures et produits animaux","Ghana","Importations - Quantité","Viande de Volailles","2013","172716"
"Cultures et produits animaux","Grèce","Importations - Quantité","Viande de Volailles","2013","75101"
"Cultures et produits animaux","Grenade","Importations - Quantité","Viande de Volailles","2013","6715"
"Cultures et produits animaux","Guam","Importations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Guatemala","Importations - Quantité","Viande de Volailles","2013","89101"
"Cultures et produits animaux","Guinée","Importations - Quantité","Viande de Volailles","2013","12679"
"Cultures et produits animaux","Guinée équatoriale","Importations - Quantité","Viande de Volailles","2013","21141"
"Cultures et produits animaux","Guinée-Bissau","Importations - Quantité","Viande de Volailles","2013","1279"
"Cultures et produits animaux","Guyana","Importations - Quantité","Viande de Volailles","2013","2121"
"Cultures et produits animaux","Haïti","Importations - Quantité","Viande de Volailles","2013","70553"
"Cultures et produits animaux","Honduras","Importations - Quantité","Viande de Volailles","2013","17052"
"Cultures et produits animaux","Hongrie","Importations - Quantité","Viande de Volailles","2013","55158"
"Cultures et produits animaux","Îles Caïmanes","Importations - Quantité","Viande de Volailles","2013","2656"
"Cultures et produits animaux","Îles Cook","Importations - Quantité","Viande de Volailles","2013","1066"
"Cultures et produits animaux","Îles Féroé","Importations - Quantité","Viande de Volailles","2013","862"
"Cultures et produits animaux","Îles Salomon","Importations - Quantité","Viande de Volailles","2013","1590"
"Cultures et produits animaux","Îles Vierges britanniques","Importations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Inde","Importations - Quantité","Viande de Volailles","2013","59"
"Cultures et produits animaux","Indonésie","Importations - Quantité","Viande de Volailles","2013","1280"
"Cultures et produits animaux","Iran (République islamique d')","Importations - Quantité","Viande de Volailles","2013","17334"
"Cultures et produits animaux","Iraq","Importations - Quantité","Viande de Volailles","2013","412851"
"Cultures et produits animaux","Irlande","Importations - Quantité","Viande de Volailles","2013","111007"
"Cultures et produits animaux","Islande","Importations - Quantité","Viande de Volailles","2013","991"
"Cultures et produits animaux","Israël","Importations - Quantité","Viande de Volailles","2013","43"
"Cultures et produits animaux","Italie","Importations - Quantité","Viande de Volailles","2013","91718"
"Cultures et produits animaux","Jamaïque","Importations - Quantité","Viande de Volailles","2013","43133"
"Cultures et produits animaux","Japon","Importations - Quantité","Viande de Volailles","2013","1065816"
"Cultures et produits animaux","Jordanie","Importations - Quantité","Viande de Volailles","2013","84828"
"Cultures et produits animaux","Kazakhstan","Importations - Quantité","Viande de Volailles","2013","171088"
"Cultures et produits animaux","Kenya","Importations - Quantité","Viande de Volailles","2013","17"
"Cultures et produits animaux","Kirghizistan","Importations - Quantité","Viande de Volailles","2013","51109"
"Cultures et produits animaux","Kiribati","Importations - Quantité","Viande de Volailles","2013","858"
"Cultures et produits animaux","Koweït","Importations - Quantité","Viande de Volailles","2013","139146"
"Cultures et produits animaux","Lesotho","Importations - Quantité","Viande de Volailles","2013","17229"
"Cultures et produits animaux","Lettonie","Importations - Quantité","Viande de Volailles","2013","29411"
"Cultures et produits animaux","l'ex-République yougoslave de Macédoine","Importations - Quantité","Viande de Volailles","2013","38238"
"Cultures et produits animaux","Liban","Importations - Quantité","Viande de Volailles","2013","16582"
"Cultures et produits animaux","Libéria","Importations - Quantité","Viande de Volailles","2013","25290"
"Cultures et produits animaux","Libye","Importations - Quantité","Viande de Volailles","2013","82672"
"Cultures et produits animaux","Lituanie","Importations - Quantité","Viande de Volailles","2013","33338"
"Cultures et produits animaux","Luxembourg","Importations - Quantité","Viande de Volailles","2013","10436"
"Cultures et produits animaux","Madagascar","Importations - Quantité","Viande de Volailles","2013","47"
"Cultures et produits animaux","Malaisie","Importations - Quantité","Viande de Volailles","2013","47633"
"Cultures et produits animaux","Malawi","Importations - Quantité","Viande de Volailles","2013","317"
"Cultures et produits animaux","Maldives","Importations - Quantité","Viande de Volailles","2013","10377"
"Cultures et produits animaux","Mali","Importations - Quantité","Viande de Volailles","2013","2823"
"Cultures et produits animaux","Malte","Importations - Quantité","Viande de Volailles","2013","8996"
"Cultures et produits animaux","Maroc","Importations - Quantité","Viande de Volailles","2013","4018"
"Cultures et produits animaux","Maurice","Importations - Quantité","Viande de Volailles","2013","2271"
"Cultures et produits animaux","Mauritanie","Importations - Quantité","Viande de Volailles","2013","17147"
"Cultures et produits animaux","Mexique","Importations - Quantité","Viande de Volailles","2013","847997"
"Cultures et produits animaux","Mongolie","Importations - Quantité","Viande de Volailles","2013","8233"
"Cultures et produits animaux","Monténégro","Importations - Quantité","Viande de Volailles","2013","6588"
"Cultures et produits animaux","Mozambique","Importations - Quantité","Viande de Volailles","2013","20164"
"Cultures et produits animaux","Myanmar","Importations - Quantité","Viande de Volailles","2013","1200"
"Cultures et produits animaux","Namibie","Importations - Quantité","Viande de Volailles","2013","17787"
"Cultures et produits animaux","Népal","Importations - Quantité","Viande de Volailles","2013","178"
"Cultures et produits animaux","Nicaragua","Importations - Quantité","Viande de Volailles","2013","6242"
"Cultures et produits animaux","Niger","Importations - Quantité","Viande de Volailles","2013","2250"
"Cultures et produits animaux","Nigéria","Importations - Quantité","Viande de Volailles","2013","604"
"Cultures et produits animaux","Nioué","Importations - Quantité","Viande de Volailles","2013","62"
"Cultures et produits animaux","Norvège","Importations - Quantité","Viande de Volailles","2013","2570"
"Cultures et produits animaux","Nouvelle-Calédonie","Importations - Quantité","Viande de Volailles","2013","10546"
"Cultures et produits animaux","Nouvelle-Zélande","Importations - Quantité","Viande de Volailles","2013","874"
