"","","","2013"
"","","","Valeur"
"Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","12.22"
"Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","58.25"
"Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","36.38"
"Afrique du Sud","Disponibilité de protéines en quantité (g/personne/jour)","Total General","85.33"
"Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","59.42"
"Albanie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","111.42"
"Algérie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","24.99"
"Algérie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","91.96"
"Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","61.48"
"Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Total General","101.59"
"Angola","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","18.4"
"Angola","Disponibilité de protéines en quantité (g/personne/jour)","Total General","57.26"
"Antigua-et-Barbuda","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","56.83"
"Antigua-et-Barbuda","Disponibilité de protéines en quantité (g/personne/jour)","Total General","83.71"
"Arabie saoudite","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","39.93"
"Arabie saoudite","Disponibilité de protéines en quantité (g/personne/jour)","Total General","91.63"
"Argentine","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","66.94"
"Argentine","Disponibilité de protéines en quantité (g/personne/jour)","Total General","102.64"
"Arménie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","43.25"
"Arménie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","90.04"
"Australie","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","71.68"
"Australie","Disponibilité de protéines en quantité (g/personne/jour)","Total General","106.28"
"Autriche","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","62.86"
"Autriche","Disponibilité de protéines en quantité (g/personne/jour)","Total General","106.21"
"Azerbaïdjan","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","30.08"
"Azerbaïdjan","Disponibilité de protéines en quantité (g/personne/jour)","Total General","93.15"
"Bahamas","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","56.43"
"Bahamas","Disponibilité de protéines en quantité (g/personne/jour)","Total General","86.62"
"Bangladesh","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","9.92"
"Bangladesh","Disponibilité de protéines en quantité (g/personne/jour)","Total General","55.84"
"Barbade","Disponibilité de protéines en quantité (g/personne/jour)","Produits Animaux","50.52"
